year,E,W,predominant
2015,30.983302411873844,69.01669758812616,W
2016,32.91781417596753,67.08218582403246,W
2017,23.111235015333147,76.88876498466686,W
2018,40.4040404040404,59.59595959595959,W
2019,32.466418976850534,67.53358102314947,W
2020,32.153976790263236,67.84602320973677,W
2021,34.9041416654471,65.0958583345529,W
2022,34.87044356609574,65.12955643390426,W
2023,31.178281556115312,68.82171844388469,W
2024,29.586395734255653,70.41360426574434,W
2025,46.18235730170497,53.81764269829503,W
